ticker,date,close,high,low,open,volume,time,symbol,company_name,last_sale,market_cap,adr_tso,ipo_year,sector,industry,summary_quote,stock_exchange
GOOGL,2016-11-21,784.8,786.55,776.3,778.1,1630835,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-11-22,785,793.77,783.74,788.99,1394174,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-11-23,779,789.52,772.65,789.52,1312981,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-11-25,780.23,782.9,778.19,782.61,613549,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-11-28,785.79,799.74,778.1,778.35,2575432,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-11-29,789.44,796.44,785.34,788.38,1561981,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-11-30,775.88,791.51,773.145,789.1,2279054,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-01,764.33,778.6,753.36,778.55,2867074,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-02,764.46,770.5,759,761.9,1718846,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-05,778.22,780,766.9686,770,1688473,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-06,776.18,785.28,773.32,780.19,1734099,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-07,791.47,792,773.53,779.95,2029415,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-08,795.17,799,787.905,792.95,1612531,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-09,809.45,809.95,798.05,799.3,1904463,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-12,807.9,811.35,804.5311,804.82,1628602,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-13,815.34,824.3,811.94,812.39,2128210,"2016-12-14 04:41:16",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-14,817.89,824.26,812.78,815.92,1799654,"2016-12-20 04:24:04",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-15,815.65,823,812,817.36,1769719,"2016-12-20 04:24:04",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-16,809.84,819.2,808.12,818.31,2598866,"2016-12-20 04:24:04",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
GOOGL,2016-12-19,812.5,816.22,804.5,809.28,1263581,"2016-12-20 04:24:04",GOOGL,"Alphabet Inc.",1119.2000,777622522631.2000,0,0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,nasdaq
